Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 52796 nodes, 1199 on tree, 18.787275 best solution, best possible 0 (149.06 seconds)
Cbc0010I After 52927 nodes, 1208 on tree, 18.787275 best solution, best possible 0 (149.77 seconds)
Cbc0010I After 53113 nodes, 1153 on tree, 18.787275 best solution, best possible 0 (150.48 seconds)
Cbc0010I After 53243 nodes, 1132 on tree, 18.787275 best solution, best possible 0 (151.18 seconds)
Cbc0010I After 53404 nodes, 1104 on tree, 18.787275 best solution, best possible 0 (151.88 seconds)
Cbc0010I After 53542 nodes, 1079 on tree, 18.787275 best solution, best possible 0 (152.58 seconds)
Cbc0010I After 53663 nodes, 1058 on tree, 18.787275 best solution, best possible 0 (153.29 seconds)
Cbc0010I After 53830 nodes, 1041 on tree, 18.787275 best solution, best possible 0 (153.99 seconds)
Cbc0010I After 54017 nodes, 1038 on tree, 18.787275 best solution, best possible 0 (154.69 seconds)
Cbc0010I After 54195 nodes, 1079 on tree, 18.787275 best solution, best possible 0 (155.40 seconds)
Cbc0010I After 54331 nodes, 1109 on tree, 18.787275 best solution, best possible 0 (156.10 seconds)
Cbc0010I After 54571 nodes, 1125 on tree, 18.787275 best solution, best possible 0 (156.80 seconds)
Cbc0010I After 54931 nodes, 1192 on tree, 18.787275 best solution, best possible 0 (157.51 seconds)
Cbc0010I After 55254 nodes, 1290 on tree, 18.787275 best solution, best possible 0 (158.21 seconds)
Cbc0010I After 55650 nodes, 1374 on tree, 18.787275 best solution, best possible 0 (158.91 seconds)
Cbc0010I After 55982 nodes, 1443 on tree, 18.787275 best solution, best possible 0 (159.62 seconds)
Cbc0010I After 56215 nodes, 1455 on tree, 18.787275 best solution, best possible 0 (160.33 seconds)
Cbc0010I After 56368 nodes, 1434 on tree, 18.787275 best solution, best possible 0 (161.03 seconds)
Cbc0010I After 56542 nodes, 1447 on tree, 18.787275 best solution, best possible 0 (161.74 seconds)
Cbc0010I After 56627 nodes, 1480 on tree, 18.787275 best solution, best possible 0 (162.45 seconds)
Cbc0010I After 56787 nodes, 1507 on tree, 18.787275 best solution, best possible 0 (163.15 seconds)
Cbc0010I After 56902 nodes, 1521 on tree, 18.787275 best solution, best possible 0 (163.86 seconds)
Cbc0010I After 57016 nodes, 1530 on tree, 18.787275 best solution, best possible 0 (164.56 seconds)
Cbc0010I After 57338 nodes, 1518 on tree, 18.787275 best solution, best possible 0 (165.26 seconds)
Cbc0010I After 57673 nodes, 1512 on tree, 18.787275 best solution, best possible 0 (165.96 seconds)
Cbc0010I After 57932 nodes, 1499 on tree, 18.787275 best solution, best possible 0 (166.66 seconds)
Cbc0010I After 58115 nodes, 1538 on tree, 18.787275 best solution, best possible 0 (167.37 seconds)
Cbc0010I After 58249 nodes, 1577 on tree, 18.787275 best solution, best possible 0 (168.07 seconds)
Cbc0010I After 58479 nodes, 1631 on tree, 18.787275 best solution, best possible 0 (168.77 seconds)
Cbc0010I After 58720 nodes, 1705 on tree, 18.787275 best solution, best possible 0 (169.47 seconds)
Cbc0010I After 58953 nodes, 1743 on tree, 18.787275 best solution, best possible 0 (170.18 seconds)
Cbc0010I After 59182 nodes, 1829 on tree, 18.787275 best solution, best possible 0 (170.88 seconds)
Cbc0010I After 59449 nodes, 1896 on tree, 18.787275 best solution, best possible 0 (171.59 seconds)
Cbc0010I After 59679 nodes, 1955 on tree, 18.787275 best solution, best possible 0 (172.29 seconds)
Cbc0010I After 59932 nodes, 2036 on tree, 18.787275 best solution, best possible 0 (172.99 seconds)
Cbc0010I After 60187 nodes, 2107 on tree, 18.787275 best solution, best possible 0 (173.69 seconds)
Cbc0010I After 60408 nodes, 2155 on tree, 18.787275 best solution, best possible 0 (174.39 seconds)
Cbc0010I After 60611 nodes, 2224 on tree, 18.787275 best solution, best possible 0 (175.10 seconds)
Cbc0010I After 60818 nodes, 2269 on tree, 18.787275 best solution, best possible 0 (175.81 seconds)
Cbc0010I After 61096 nodes, 2281 on tree, 18.787275 best solution, best possible 0 (176.52 seconds)
Cbc0010I After 61422 nodes, 2269 on tree, 18.787275 best solution, best possible 0 (177.22 seconds)
Cbc0010I After 61758 nodes, 2255 on tree, 18.787275 best solution, best possible 0 (177.93 seconds)
Cbc0010I After 62027 nodes, 2251 on tree, 18.787275 best solution, best possible 0 (178.63 seconds)
Cbc0010I After 62277 nodes, 2304 on tree, 18.787275 best solution, best possible 0 (179.33 seconds)
Cbc0010I After 62556 nodes, 2306 on tree, 18.787275 best solution, best possible 0 (180.04 seconds)
Cbc0010I After 62709 nodes, 2359 on tree, 18.787275 best solution, best possible 0 (180.74 seconds)
Cbc0010I After 62844 nodes, 2408 on tree, 18.787275 best solution, best possible 0 (181.44 seconds)
Cbc0010I After 62971 nodes, 2461 on tree, 18.787275 best solution, best possible 0 (182.14 seconds)
Cbc0010I After 63132 nodes, 2506 on tree, 18.787275 best solution, best possible 0 (182.84 seconds)
Cbc0010I After 63294 nodes, 2544 on tree, 18.787275 best solution, best possible 0 (183.55 seconds)
Cbc0010I After 63439 nodes, 2603 on tree, 18.787275 best solution, best possible 0 (184.26 seconds)
Cbc0010I After 63608 nodes, 2670 on tree, 18.787275 best solution, best possible 0 (184.96 seconds)
Cbc0010I After 63819 nodes, 2719 on tree, 18.787275 best solution, best possible 0 (185.66 seconds)
Cbc0010I After 64117 nodes, 2811 on tree, 18.787275 best solution, best possible 0 (186.36 seconds)
Cbc0010I After 64428 nodes, 2882 on tree, 18.787275 best solution, best possible 0 (187.07 seconds)
Cbc0010I After 64617 nodes, 2905 on tree, 18.787275 best solution, best possible 0 (187.77 seconds)
Cbc0010I After 64784 nodes, 2930 on tree, 18.787275 best solution, best possible 0 (188.47 seconds)
Cbc0010I After 64958 nodes, 2942 on tree, 18.787275 best solution, best possible 0 (189.17 seconds)
Cbc0010I After 65169 nodes, 2928 on tree, 18.787275 best solution, best possible 0 (189.88 seconds)
Cbc0010I After 65480 nodes, 2911 on tree, 18.787275 best solution, best possible 0 (190.58 seconds)
Cbc0010I After 65803 nodes, 2894 on tree, 18.787275 best solution, best possible 0 (191.28 seconds)
Cbc0010I After 66065 nodes, 2893 on tree, 18.787275 best solution, best possible 0 (191.98 seconds)
Cbc0010I After 66257 nodes, 2903 on tree, 18.787275 best solution, best possible 0 (192.68 seconds)
Cbc0010I After 66442 nodes, 2886 on tree, 18.787275 best solution, best possible 0 (193.38 seconds)
Cbc0010I After 66607 nodes, 2874 on tree, 18.787275 best solution, best possible 0 (194.09 seconds)
Cbc0010I After 66807 nodes, 2849 on tree, 18.787275 best solution, best possible 0 (194.79 seconds)
Cbc0010I After 66969 nodes, 2870 on tree, 18.787275 best solution, best possible 0 (195.50 seconds)
Cbc0010I After 67165 nodes, 2929 on tree, 18.787275 best solution, best possible 0 (196.20 seconds)
Cbc0010I After 67375 nodes, 2972 on tree, 18.787275 best solution, best possible 0 (196.90 seconds)
Cbc0010I After 67656 nodes, 2986 on tree, 18.787275 best solution, best possible 0 (197.61 seconds)
Cbc0010I After 67805 nodes, 2992 on tree, 18.787275 best solution, best possible 0 (198.32 seconds)
Cbc0010I After 68198 nodes, 3036 on tree, 18.787275 best solution, best possible 0 (199.02 seconds)
Cbc0010I After 68440 nodes, 3051 on tree, 18.787275 best solution, best possible 0 (199.72 seconds)
Cbc0010I After 68615 nodes, 3088 on tree, 18.787275 best solution, best possible 0 (200.44 seconds)
Cbc0010I After 68771 nodes, 3129 on tree, 18.787275 best solution, best possible 0 (201.15 seconds)
Cbc0010I After 68909 nodes, 3151 on tree, 18.787275 best solution, best possible 0 (201.85 seconds)
Cbc0010I After 69184 nodes, 3149 on tree, 18.787275 best solution, best possible 0 (202.55 seconds)
Cbc0010I After 69476 nodes, 3123 on tree, 18.787275 best solution, best possible 0 (203.25 seconds)
Cbc0010I After 69697 nodes, 3117 on tree, 18.787275 best solution, best possible 0 (203.95 seconds)
Cbc0010I After 70009 nodes, 3099 on tree, 18.787275 best solution, best possible 0 (204.65 seconds)
Cbc0010I After 70269 nodes, 3136 on tree, 18.787275 best solution, best possible 0 (205.35 seconds)
Cbc0010I After 70487 nodes, 3153 on tree, 18.787275 best solution, best possible 0 (206.06 seconds)
Cbc0010I After 70699 nodes, 3178 on tree, 18.787275 best solution, best possible 0 (206.76 seconds)
Cbc0010I After 70863 nodes, 3200 on tree, 18.787275 best solution, best possible 0 (207.48 seconds)
Cbc0010I After 71061 nodes, 3249 on tree, 18.787275 best solution, best possible 0 (208.18 seconds)
Cbc0010I After 71333 nodes, 3327 on tree, 18.787275 best solution, best possible 0 (208.89 seconds)
Cbc0010I After 71656 nodes, 3409 on tree, 18.787275 best solution, best possible 0 (209.59 seconds)
Cbc0010I After 71861 nodes, 3470 on tree, 18.787275 best solution, best possible 0 (210.29 seconds)
Cbc0010I After 72180 nodes, 3549 on tree, 18.787275 best solution, best possible 0 (210.99 seconds)
Cbc0010I After 72434 nodes, 3641 on tree, 18.787275 best solution, best possible 0 (211.70 seconds)
Cbc0010I After 72664 nodes, 3693 on tree, 18.787275 best solution, best possible 0 (212.40 seconds)
Cbc0010I After 72867 nodes, 3712 on tree, 18.787275 best solution, best possible 0 (213.10 seconds)
Cbc0010I After 73128 nodes, 3695 on tree, 18.787275 best solution, best possible 0 (213.80 seconds)
Cbc0010I After 73472 nodes, 3672 on tree, 18.787275 best solution, best possible 0 (214.51 seconds)
Cbc0010I After 73773 nodes, 3657 on tree, 18.787275 best solution, best possible 0 (215.21 seconds)
Cbc0010I After 74057 nodes, 3657 on tree, 18.787275 best solution, best possible 0 (215.91 seconds)
Cbc0010I After 74341 nodes, 3694 on tree, 18.787275 best solution, best possible 0 (216.62 seconds)
Cbc0010I After 74648 nodes, 3729 on tree, 18.787275 best solution, best possible 0 (217.32 seconds)
Cbc0010I After 75051 nodes, 3776 on tree, 18.787275 best solution, best possible 0 (218.02 seconds)
Cbc0010I After 75367 nodes, 3818 on tree, 18.787275 best solution, best possible 0 (218.72 seconds)
Cbc0010I After 75671 nodes, 3823 on tree, 18.787275 best solution, best possible 0 (219.42 seconds)
Cbc0010I After 75968 nodes, 3852 on tree, 18.787275 best solution, best possible 0 (220.12 seconds)
Cbc0010I After 76354 nodes, 3874 on tree, 18.787275 best solution, best possible 0 (220.82 seconds)
Cbc0010I After 76608 nodes, 3959 on tree, 18.787275 best solution, best possible 0 (221.52 seconds)
Cbc0010I After 77021 nodes, 4062 on tree, 18.787275 best solution, best possible 0 (222.22 seconds)
Cbc0010I After 77346 nodes, 4042 on tree, 18.787275 best solution, best possible 0 (222.94 seconds)
Cbc0010I After 77688 nodes, 4013 on tree, 18.787275 best solution, best possible 0 (223.64 seconds)
Cbc0010I After 77950 nodes, 3999 on tree, 18.787275 best solution, best possible 0 (224.35 seconds)
Cbc0010I After 78213 nodes, 4021 on tree, 18.787275 best solution, best possible 0 (225.05 seconds)
Cbc0010I After 78449 nodes, 4088 on tree, 18.787275 best solution, best possible 0 (225.75 seconds)
Cbc0010I After 78634 nodes, 4106 on tree, 18.787275 best solution, best possible 0 (226.46 seconds)
Cbc0010I After 78879 nodes, 4169 on tree, 18.787275 best solution, best possible 0 (227.16 seconds)
Cbc0010I After 79092 nodes, 4154 on tree, 18.787275 best solution, best possible 0 (227.86 seconds)
Cbc0010I After 79342 nodes, 4194 on tree, 18.787275 best solution, best possible 0 (228.57 seconds)
Cbc0010I After 79579 nodes, 4244 on tree, 18.787275 best solution, best possible 0 (229.27 seconds)
Cbc0010I After 79768 nodes, 4248 on tree, 18.787275 best solution, best possible 0 (229.98 seconds)
Cbc0010I After 80084 nodes, 4293 on tree, 18.787275 best solution, best possible 0 (230.68 seconds)
Cbc0010I After 80256 nodes, 4324 on tree, 18.787275 best solution, best possible 0 (231.39 seconds)
Cbc0010I After 80601 nodes, 4322 on tree, 18.787275 best solution, best possible 0 (232.09 seconds)
Cbc0010I After 81031 nodes, 4320 on tree, 18.787275 best solution, best possible 0 (232.79 seconds)
Cbc0010I After 81519 nodes, 4289 on tree, 18.787275 best solution, best possible 0 (233.49 seconds)
Cbc0010I After 81988 nodes, 4261 on tree, 18.787275 best solution, best possible 0 (234.19 seconds)
Cbc0010I After 82382 nodes, 4256 on tree, 18.787275 best solution, best possible 0 (234.89 seconds)
Cbc0010I After 82814 nodes, 4323 on tree, 18.787275 best solution, best possible 0 (235.60 seconds)
Cbc0010I After 83139 nodes, 4347 on tree, 18.787275 best solution, best possible 0 (236.30 seconds)
Cbc0010I After 83406 nodes, 4379 on tree, 18.787275 best solution, best possible 0 (237.00 seconds)
Cbc0010I After 83694 nodes, 4372 on tree, 18.787275 best solution, best possible 0 (237.70 seconds)
Cbc0010I After 83940 nodes, 4369 on tree, 18.787275 best solution, best possible 0 (238.41 seconds)
Cbc0010I After 84127 nodes, 4393 on tree, 18.787275 best solution, best possible 0 (239.12 seconds)
Cbc0010I After 84343 nodes, 4447 on tree, 18.787275 best solution, best possible 0 (239.82 seconds)
Cbc0010I After 84557 nodes, 4476 on tree, 18.787275 best solution, best possible 0 (240.52 seconds)
Cbc0010I After 84725 nodes, 4517 on tree, 18.787275 best solution, best possible 0 (241.22 seconds)
Cbc0010I After 84896 nodes, 4527 on tree, 18.787275 best solution, best possible 0 (241.92 seconds)
Cbc0010I After 85112 nodes, 4531 on tree, 18.787275 best solution, best possible 0 (242.62 seconds)
Cbc0010I After 85401 nodes, 4481 on tree, 18.787275 best solution, best possible 0 (243.32 seconds)
Cbc0010I After 85635 nodes, 4443 on tree, 18.787275 best solution, best possible 0 (244.03 seconds)
Cbc0010I After 85854 nodes, 4430 on tree, 18.787275 best solution, best possible 0 (244.73 seconds)
Cbc0010I After 86068 nodes, 4415 on tree, 18.787275 best solution, best possible 0 (245.44 seconds)
Cbc0010I After 86268 nodes, 4445 on tree, 18.787275 best solution, best possible 0 (246.14 seconds)
Cbc0010I After 86486 nodes, 4475 on tree, 18.787275 best solution, best possible 0 (246.84 seconds)
Cbc0010I After 86658 nodes, 4509 on tree, 18.787275 best solution, best possible 0 (247.54 seconds)
Cbc0010I After 86991 nodes, 4546 on tree, 18.787275 best solution, best possible 0 (248.24 seconds)
Cbc0010I After 87166 nodes, 4574 on tree, 18.787275 best solution, best possible 0 (248.94 seconds)
Cbc0010I After 87311 nodes, 4575 on tree, 18.787275 best solution, best possible 0 (249.65 seconds)
Cbc0010I After 87502 nodes, 4622 on tree, 18.787275 best solution, best possible 0 (250.35 seconds)
Cbc0010I After 87677 nodes, 4624 on tree, 18.787275 best solution, best possible 0 (251.06 seconds)
Cbc0010I After 87844 nodes, 4651 on tree, 18.787275 best solution, best possible 0 (251.77 seconds)
Cbc0010I After 88134 nodes, 4696 on tree, 18.787275 best solution, best possible 0 (252.47 seconds)
Cbc0010I After 88268 nodes, 4720 on tree, 18.787275 best solution, best possible 0 (253.17 seconds)
Cbc0010I After 88518 nodes, 4755 on tree, 18.787275 best solution, best possible 0 (253.87 seconds)
Cbc0010I After 88668 nodes, 4791 on tree, 18.787275 best solution, best possible 0 (254.58 seconds)
Cbc0010I After 88902 nodes, 4831 on tree, 18.787275 best solution, best possible 0 (255.28 seconds)
Cbc0010I After 89112 nodes, 4826 on tree, 18.787275 best solution, best possible 0 (255.98 seconds)
Cbc0010I After 89286 nodes, 4793 on tree, 18.787275 best solution, best possible 0 (256.69 seconds)
Cbc0010I After 89521 nodes, 4779 on tree, 18.787275 best solution, best possible 0 (257.39 seconds)
Cbc0010I After 89790 nodes, 4758 on tree, 18.787275 best solution, best possible 0 (258.09 seconds)
Cbc0010I After 90141 nodes, 4743 on tree, 18.787275 best solution, best possible 0 (258.79 seconds)
Cbc0010I After 90387 nodes, 4776 on tree, 18.787275 best solution, best possible 0 (259.50 seconds)
Cbc0010I After 90744 nodes, 4784 on tree, 18.787275 best solution, best possible 0 (260.20 seconds)
Cbc0010I After 91055 nodes, 4790 on tree, 18.787275 best solution, best possible 0 (260.90 seconds)
Cbc0010I After 91316 nodes, 4790 on tree, 18.787275 best solution, best possible 0 (261.61 seconds)
Cbc0010I After 91559 nodes, 4821 on tree, 18.787275 best solution, best possible 0 (262.32 seconds)
Cbc0010I After 91822 nodes, 4854 on tree, 18.787275 best solution, best possible 0 (263.03 seconds)
Cbc0010I After 92047 nodes, 4885 on tree, 18.787275 best solution, best possible 0 (263.73 seconds)
Cbc0010I After 92308 nodes, 4908 on tree, 18.787275 best solution, best possible 0 (264.43 seconds)
Cbc0010I After 92488 nodes, 4910 on tree, 18.787275 best solution, best possible 0 (265.14 seconds)
Cbc0010I After 92696 nodes, 4921 on tree, 18.787275 best solution, best possible 0 (265.84 seconds)
Cbc0010I After 92929 nodes, 4906 on tree, 18.787275 best solution, best possible 0 (266.55 seconds)
Cbc0010I After 93203 nodes, 4882 on tree, 18.787275 best solution, best possible 0 (267.25 seconds)
Cbc0010I After 93501 nodes, 4839 on tree, 18.787275 best solution, best possible 0 (267.95 seconds)
Cbc0010I After 93691 nodes, 4804 on tree, 18.787275 best solution, best possible 0 (268.66 seconds)
Cbc0010I After 93895 nodes, 4768 on tree, 18.787275 best solution, best possible 0 (269.36 seconds)
Cbc0010I After 94026 nodes, 4747 on tree, 18.787275 best solution, best possible 0 (270.06 seconds)
Cbc0010I After 94118 nodes, 4742 on tree, 18.787275 best solution, best possible 0 (270.77 seconds)
Cbc0010I After 94254 nodes, 4755 on tree, 18.787275 best solution, best possible 0 (271.47 seconds)
Cbc0010I After 94435 nodes, 4775 on tree, 18.787275 best solution, best possible 0 (272.17 seconds)
Cbc0010I After 94613 nodes, 4763 on tree, 18.787275 best solution, best possible 0 (272.87 seconds)
Cbc0010I After 94845 nodes, 4780 on tree, 18.787275 best solution, best possible 0 (273.59 seconds)
Cbc0010I After 95051 nodes, 4804 on tree, 18.787275 best solution, best possible 0 (274.29 seconds)
Cbc0010I After 95217 nodes, 4793 on tree, 18.787275 best solution, best possible 0 (274.99 seconds)
Cbc0010I After 95336 nodes, 4764 on tree, 18.787275 best solution, best possible 0 (275.70 seconds)
Cbc0010I After 95466 nodes, 4778 on tree, 18.787275 best solution, best possible 0 (276.41 seconds)
Cbc0010I After 95667 nodes, 4758 on tree, 18.787275 best solution, best possible 0 (277.11 seconds)
Cbc0010I After 95874 nodes, 4785 on tree, 18.787275 best solution, best possible 0 (277.81 seconds)
Cbc0010I After 96219 nodes, 4817 on tree, 18.787275 best solution, best possible 0 (278.52 seconds)
Cbc0010I After 96453 nodes, 4816 on tree, 18.787275 best solution, best possible 0 (279.22 seconds)
Cbc0010I After 96656 nodes, 4802 on tree, 18.787275 best solution, best possible 0 (279.92 seconds)
Cbc0010I After 96901 nodes, 4786 on tree, 18.787275 best solution, best possible 0 (280.62 seconds)
Cbc0010I After 97272 nodes, 4726 on tree, 18.787275 best solution, best possible 0 (281.32 seconds)
Cbc0010I After 97755 nodes, 4710 on tree, 18.787275 best solution, best possible 0 (282.02 seconds)
Cbc0010I After 98177 nodes, 4692 on tree, 18.787275 best solution, best possible 0 (282.73 seconds)
Cbc0010I After 98495 nodes, 4754 on tree, 18.787275 best solution, best possible 0 (283.43 seconds)
Cbc0010I After 98822 nodes, 4736 on tree, 18.787275 best solution, best possible 0 (284.13 seconds)
Cbc0010I After 99156 nodes, 4755 on tree, 18.787275 best solution, best possible 0 (284.83 seconds)
Cbc0010I After 99416 nodes, 4733 on tree, 18.787275 best solution, best possible 0 (285.53 seconds)
Cbc0010I After 99699 nodes, 4729 on tree, 18.787275 best solution, best possible 0 (286.24 seconds)
Cbc0010I After 100072 nodes, 4773 on tree, 18.787275 best solution, best possible 0 (286.94 seconds)
Cbc0010I After 100420 nodes, 4798 on tree, 18.787275 best solution, best possible 0 (287.64 seconds)
Cbc0010I After 100762 nodes, 4807 on tree, 18.787275 best solution, best possible 0 (288.35 seconds)
Cbc0010I After 100974 nodes, 4800 on tree, 18.787275 best solution, best possible 0 (289.05 seconds)
Cbc0010I After 101151 nodes, 4815 on tree, 18.787275 best solution, best possible 0 (289.76 seconds)
Cbc0010I After 101309 nodes, 4835 on tree, 18.787275 best solution, best possible 0 (290.47 seconds)
Cbc0010I After 101501 nodes, 4861 on tree, 18.787275 best solution, best possible 0 (291.18 seconds)
Cbc0010I After 101745 nodes, 4886 on tree, 18.787275 best solution, best possible 0 (291.88 seconds)
Cbc0010I After 101945 nodes, 4921 on tree, 18.787275 best solution, best possible 0 (292.59 seconds)
Cbc0010I After 102214 nodes, 4950 on tree, 18.787275 best solution, best possible 0 (293.29 seconds)
Cbc0010I After 102519 nodes, 4963 on tree, 18.787275 best solution, best possible 0 (293.99 seconds)
Cbc0010I After 102820 nodes, 4962 on tree, 18.787275 best solution, best possible 0 (294.69 seconds)
Cbc0010I After 103089 nodes, 4996 on tree, 18.787275 best solution, best possible 0 (295.39 seconds)
Cbc0010I After 103318 nodes, 5027 on tree, 18.787275 best solution, best possible 0 (296.10 seconds)
Cbc0010I After 103614 nodes, 5043 on tree, 18.787275 best solution, best possible 0 (296.80 seconds)
Cbc0010I After 103993 nodes, 5043 on tree, 18.787275 best solution, best possible 0 (297.50 seconds)
Cbc0010I After 104480 nodes, 5074 on tree, 18.787275 best solution, best possible 0 (298.20 seconds)
Cbc0010I After 104965 nodes, 5105 on tree, 18.787275 best solution, best possible 0 (298.90 seconds)
Cbc0010I After 105402 nodes, 5149 on tree, 18.787275 best solution, best possible 0 (299.60 seconds)
Cbc0010I After 105764 nodes, 5206 on tree, 18.787275 best solution, best possible 0 (300.30 seconds)
Cbc0010I After 106155 nodes, 5252 on tree, 18.787275 best solution, best possible 0 (301.01 seconds)
Cbc0010I After 106589 nodes, 5247 on tree, 18.787275 best solution, best possible 0 (301.71 seconds)
Cbc0010I After 106989 nodes, 5246 on tree, 18.787275 best solution, best possible 0 (302.41 seconds)
Cbc0010I After 107372 nodes, 5308 on tree, 18.787275 best solution, best possible 0 (303.11 seconds)
Cbc0010I After 107706 nodes, 5389 on tree, 18.787275 best solution, best possible 0 (303.81 seconds)
Cbc0010I After 107860 nodes, 5425 on tree, 18.787275 best solution, best possible 0 (304.51 seconds)
Cbc0010I After 108074 nodes, 5436 on tree, 18.787275 best solution, best possible 0 (305.24 seconds)
Cbc0010I After 108235 nodes, 5487 on tree, 18.787275 best solution, best possible 0 (305.94 seconds)
Cbc0010I After 108450 nodes, 5514 on tree, 18.787275 best solution, best possible 0 (306.64 seconds)
Cbc0010I After 108612 nodes, 5517 on tree, 18.787275 best solution, best possible 0 (307.35 seconds)
Cbc0010I After 108716 nodes, 5529 on tree, 18.787275 best solution, best possible 0 (308.06 seconds)
Cbc0010I After 108861 nodes, 5540 on tree, 18.787275 best solution, best possible 0 (308.78 seconds)
Cbc0010I After 108997 nodes, 5556 on tree, 18.787275 best solution, best possible 0 (309.50 seconds)
Cbc0010I After 109088 nodes, 5553 on tree, 18.787275 best solution, best possible 0 (310.21 seconds)
Cbc0010I After 109207 nodes, 5565 on tree, 18.787275 best solution, best possible 0 (310.92 seconds)
Cbc0010I After 109329 nodes, 5584 on tree, 18.787275 best solution, best possible 0 (311.63 seconds)
Cbc0010I After 109462 nodes, 5600 on tree, 18.787275 best solution, best possible 0 (312.34 seconds)
Cbc0010I After 109585 nodes, 5633 on tree, 18.787275 best solution, best possible 0 (313.04 seconds)
Cbc0010I After 109706 nodes, 5637 on tree, 18.787275 best solution, best possible 0 (313.75 seconds)
Cbc0010I After 109835 nodes, 5659 on tree, 18.787275 best solution, best possible 0 (314.45 seconds)
Cbc0010I After 110088 nodes, 5670 on tree, 18.787275 best solution, best possible 0 (315.15 seconds)
Cbc0010I After 110280 nodes, 5685 on tree, 18.787275 best solution, best possible 0 (315.85 seconds)
Cbc0010I After 110414 nodes, 5736 on tree, 18.787275 best solution, best possible 0 (316.55 seconds)
Cbc0010I After 110618 nodes, 5801 on tree, 18.787275 best solution, best possible 0 (317.25 seconds)
Cbc0010I After 110815 nodes, 5850 on tree, 18.787275 best solution, best possible 0 (317.96 seconds)
