Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 2479 nodes, 1318 on tree, 3762 best solution, best possible 560 (137.93 seconds)
Cbc0010I After 2506 nodes, 1331 on tree, 3762 best solution, best possible 560 (138.64 seconds)
Cbc0004I Integer solution of 1730 found after 80566 iterations and 2526 nodes (139.22 seconds)
Cbc0010I After 2527 nodes, 1244 on tree, 1730 best solution, best possible 560 (139.59 seconds)
Cbc0010I After 2535 nodes, 1249 on tree, 1730 best solution, best possible 560 (140.32 seconds)
Cbc0010I After 2543 nodes, 1253 on tree, 1730 best solution, best possible 560 (141.06 seconds)
Cbc0010I After 2552 nodes, 1258 on tree, 1730 best solution, best possible 560 (141.76 seconds)
Cbc0010I After 2558 nodes, 1262 on tree, 1730 best solution, best possible 560 (142.52 seconds)
Cbc0010I After 2561 nodes, 1263 on tree, 1730 best solution, best possible 560 (143.23 seconds)
Cbc0010I After 2567 nodes, 1265 on tree, 1730 best solution, best possible 560 (144.02 seconds)
Cbc0010I After 2574 nodes, 1269 on tree, 1730 best solution, best possible 560 (144.93 seconds)
Cbc0010I After 2580 nodes, 1272 on tree, 1730 best solution, best possible 560 (145.68 seconds)
Cbc0010I After 2587 nodes, 1275 on tree, 1730 best solution, best possible 560 (146.54 seconds)
Cbc0010I After 2591 nodes, 1277 on tree, 1730 best solution, best possible 560 (147.53 seconds)
Cbc0010I After 2601 nodes, 1283 on tree, 1730 best solution, best possible 560 (148.24 seconds)
Cbc0010I After 2605 nodes, 1285 on tree, 1730 best solution, best possible 560 (149.00 seconds)
Cbc0010I After 2610 nodes, 1288 on tree, 1730 best solution, best possible 560 (149.73 seconds)
Cbc0010I After 2618 nodes, 1291 on tree, 1730 best solution, best possible 560 (150.50 seconds)
Cbc0010I After 2625 nodes, 1295 on tree, 1730 best solution, best possible 560 (151.36 seconds)
Cbc0010I After 2632 nodes, 1298 on tree, 1730 best solution, best possible 560 (152.14 seconds)
Cbc0010I After 2636 nodes, 1300 on tree, 1730 best solution, best possible 560 (152.84 seconds)
Cbc0010I After 2641 nodes, 1302 on tree, 1730 best solution, best possible 560 (153.58 seconds)
Cbc0010I After 2647 nodes, 1305 on tree, 1730 best solution, best possible 560 (154.40 seconds)
Cbc0010I After 2655 nodes, 1308 on tree, 1730 best solution, best possible 560 (155.19 seconds)
Cbc0010I After 2661 nodes, 1312 on tree, 1730 best solution, best possible 560 (155.99 seconds)
Cbc0010I After 2667 nodes, 1314 on tree, 1730 best solution, best possible 560 (156.90 seconds)
Cbc0010I After 2672 nodes, 1317 on tree, 1730 best solution, best possible 560 (157.66 seconds)
Cbc0010I After 2677 nodes, 1319 on tree, 1730 best solution, best possible 560 (158.37 seconds)
Cbc0010I After 2681 nodes, 1322 on tree, 1730 best solution, best possible 560 (159.16 seconds)
Cbc0010I After 2686 nodes, 1325 on tree, 1730 best solution, best possible 560 (159.92 seconds)
Cbc0010I After 2691 nodes, 1329 on tree, 1730 best solution, best possible 560 (160.74 seconds)
Cbc0010I After 2696 nodes, 1331 on tree, 1730 best solution, best possible 560 (161.55 seconds)
Cbc0010I After 2701 nodes, 1333 on tree, 1730 best solution, best possible 560 (162.25 seconds)
Cbc0010I After 2708 nodes, 1334 on tree, 1730 best solution, best possible 560 (162.99 seconds)
Cbc0010I After 2715 nodes, 1337 on tree, 1730 best solution, best possible 560 (163.72 seconds)
Cbc0010I After 2720 nodes, 1341 on tree, 1730 best solution, best possible 560 (164.42 seconds)
Cbc0010I After 2726 nodes, 1344 on tree, 1730 best solution, best possible 560 (165.15 seconds)
Cbc0010I After 2732 nodes, 1346 on tree, 1730 best solution, best possible 560 (165.90 seconds)
Cbc0010I After 2739 nodes, 1349 on tree, 1730 best solution, best possible 560 (166.67 seconds)
Cbc0010I After 2747 nodes, 1353 on tree, 1730 best solution, best possible 560 (167.42 seconds)
Cbc0010I After 2753 nodes, 1357 on tree, 1730 best solution, best possible 560 (168.19 seconds)
Cbc0010I After 2760 nodes, 1362 on tree, 1730 best solution, best possible 560 (168.95 seconds)
Cbc0010I After 2765 nodes, 1364 on tree, 1730 best solution, best possible 560 (169.65 seconds)
Cbc0010I After 2770 nodes, 1364 on tree, 1730 best solution, best possible 560 (170.40 seconds)
Cbc0010I After 2775 nodes, 1368 on tree, 1730 best solution, best possible 560 (171.11 seconds)
Cbc0010I After 2782 nodes, 1373 on tree, 1730 best solution, best possible 560 (171.82 seconds)
Cbc0010I After 2789 nodes, 1375 on tree, 1730 best solution, best possible 560 (172.58 seconds)
Cbc0010I After 2797 nodes, 1379 on tree, 1730 best solution, best possible 560 (173.31 seconds)
Cbc0010I After 2805 nodes, 1382 on tree, 1730 best solution, best possible 560 (174.06 seconds)
Cbc0010I After 2810 nodes, 1384 on tree, 1730 best solution, best possible 560 (174.87 seconds)
Cbc0010I After 2816 nodes, 1387 on tree, 1730 best solution, best possible 560 (175.68 seconds)
Cbc0010I After 2823 nodes, 1391 on tree, 1730 best solution, best possible 560 (176.48 seconds)
Cbc0010I After 2830 nodes, 1395 on tree, 1730 best solution, best possible 560 (177.24 seconds)
Cbc0010I After 2837 nodes, 1398 on tree, 1730 best solution, best possible 560 (177.97 seconds)
Cbc0010I After 2844 nodes, 1402 on tree, 1730 best solution, best possible 560 (178.72 seconds)
Cbc0010I After 2850 nodes, 1405 on tree, 1730 best solution, best possible 560 (179.50 seconds)
Cbc0010I After 2857 nodes, 1408 on tree, 1730 best solution, best possible 560 (180.27 seconds)
Cbc0010I After 2863 nodes, 1412 on tree, 1730 best solution, best possible 560 (181.00 seconds)
Cbc0010I After 2868 nodes, 1414 on tree, 1730 best solution, best possible 560 (181.89 seconds)
Cbc0010I After 2872 nodes, 1416 on tree, 1730 best solution, best possible 560 (182.60 seconds)
Cbc0010I After 2881 nodes, 1419 on tree, 1730 best solution, best possible 560 (183.38 seconds)
Cbc0010I After 2889 nodes, 1424 on tree, 1730 best solution, best possible 560 (184.15 seconds)
Cbc0010I After 2896 nodes, 1427 on tree, 1730 best solution, best possible 560 (184.91 seconds)
Cbc0010I After 2904 nodes, 1430 on tree, 1730 best solution, best possible 560 (185.70 seconds)
Cbc0010I After 2909 nodes, 1433 on tree, 1730 best solution, best possible 560 (186.48 seconds)
Cbc0010I After 2912 nodes, 1435 on tree, 1730 best solution, best possible 560 (187.44 seconds)
Cbc0010I After 2916 nodes, 1436 on tree, 1730 best solution, best possible 560 (188.34 seconds)
Cbc0010I After 2924 nodes, 1441 on tree, 1730 best solution, best possible 560 (189.18 seconds)
Cbc0010I After 2930 nodes, 1446 on tree, 1730 best solution, best possible 560 (189.99 seconds)
Cbc0010I After 2936 nodes, 1447 on tree, 1730 best solution, best possible 560 (190.78 seconds)
Cbc0010I After 2942 nodes, 1449 on tree, 1730 best solution, best possible 560 (191.54 seconds)
Cbc0010I After 2949 nodes, 1453 on tree, 1730 best solution, best possible 560 (192.44 seconds)
Cbc0010I After 2955 nodes, 1457 on tree, 1730 best solution, best possible 560 (193.24 seconds)
Cbc0010I After 2959 nodes, 1459 on tree, 1730 best solution, best possible 560 (194.10 seconds)
Cbc0010I After 2963 nodes, 1461 on tree, 1730 best solution, best possible 560 (194.81 seconds)
Cbc0010I After 2971 nodes, 1465 on tree, 1730 best solution, best possible 560 (195.72 seconds)
Cbc0010I After 2978 nodes, 1468 on tree, 1730 best solution, best possible 560 (196.48 seconds)
Cbc0010I After 2986 nodes, 1471 on tree, 1730 best solution, best possible 560 (197.26 seconds)
Cbc0010I After 2994 nodes, 1478 on tree, 1730 best solution, best possible 560 (198.05 seconds)
Cbc0010I After 3001 nodes, 1482 on tree, 1730 best solution, best possible 560 (198.90 seconds)
Cbc0010I After 3009 nodes, 1484 on tree, 1730 best solution, best possible 560 (199.69 seconds)
Cbc0010I After 3015 nodes, 1486 on tree, 1730 best solution, best possible 560 (200.51 seconds)
Cbc0010I After 3021 nodes, 1489 on tree, 1730 best solution, best possible 560 (201.24 seconds)
Cbc0010I After 3030 nodes, 1494 on tree, 1730 best solution, best possible 560 (201.99 seconds)
Cbc0010I After 3036 nodes, 1498 on tree, 1730 best solution, best possible 560 (202.83 seconds)
Cbc0010I After 3042 nodes, 1500 on tree, 1730 best solution, best possible 560 (203.59 seconds)
Cbc0010I After 3048 nodes, 1502 on tree, 1730 best solution, best possible 560 (204.36 seconds)
Cbc0010I After 3057 nodes, 1507 on tree, 1730 best solution, best possible 560 (205.08 seconds)
Cbc0010I After 3065 nodes, 1510 on tree, 1730 best solution, best possible 560 (205.85 seconds)
Cbc0010I After 3073 nodes, 1514 on tree, 1730 best solution, best possible 560 (206.63 seconds)
Cbc0010I After 3081 nodes, 1519 on tree, 1730 best solution, best possible 560 (207.37 seconds)
Cbc0010I After 3089 nodes, 1522 on tree, 1730 best solution, best possible 560 (208.16 seconds)
Cbc0010I After 3096 nodes, 1527 on tree, 1730 best solution, best possible 560 (208.86 seconds)
Cbc0010I After 3104 nodes, 1530 on tree, 1730 best solution, best possible 560 (209.65 seconds)
Cbc0010I After 3112 nodes, 1534 on tree, 1730 best solution, best possible 560 (210.40 seconds)
Cbc0010I After 3120 nodes, 1539 on tree, 1730 best solution, best possible 560 (211.27 seconds)
Cbc0010I After 3130 nodes, 1544 on tree, 1730 best solution, best possible 560 (212.04 seconds)
Cbc0010I After 3140 nodes, 1549 on tree, 1730 best solution, best possible 560 (212.82 seconds)
Cbc0010I After 3149 nodes, 1555 on tree, 1730 best solution, best possible 560 (213.53 seconds)
Cbc0010I After 3158 nodes, 1558 on tree, 1730 best solution, best possible 560 (214.27 seconds)
Cbc0010I After 3168 nodes, 1564 on tree, 1730 best solution, best possible 560 (214.99 seconds)
Cbc0010I After 3177 nodes, 1567 on tree, 1730 best solution, best possible 560 (215.72 seconds)
Cbc0010I After 3187 nodes, 1573 on tree, 1730 best solution, best possible 560 (216.47 seconds)
Cbc0010I After 3197 nodes, 1578 on tree, 1730 best solution, best possible 560 (217.21 seconds)
Cbc0010I After 3208 nodes, 1585 on tree, 1730 best solution, best possible 560 (217.91 seconds)
Cbc0010I After 3220 nodes, 1590 on tree, 1730 best solution, best possible 560 (218.63 seconds)
Cbc0010I After 3232 nodes, 1597 on tree, 1730 best solution, best possible 560 (219.40 seconds)
Cbc0010I After 3242 nodes, 1603 on tree, 1730 best solution, best possible 560 (220.14 seconds)
Cbc0010I After 3253 nodes, 1608 on tree, 1730 best solution, best possible 560 (220.90 seconds)
Cbc0010I After 3261 nodes, 1613 on tree, 1730 best solution, best possible 560 (221.69 seconds)
Cbc0010I After 3275 nodes, 1622 on tree, 1730 best solution, best possible 560 (222.42 seconds)
Cbc0010I After 3283 nodes, 1626 on tree, 1730 best solution, best possible 560 (223.13 seconds)
Cbc0010I After 3292 nodes, 1630 on tree, 1730 best solution, best possible 560 (223.84 seconds)
Cbc0010I After 3302 nodes, 1634 on tree, 1730 best solution, best possible 560 (224.58 seconds)
Cbc0010I After 3308 nodes, 1637 on tree, 1730 best solution, best possible 560 (225.33 seconds)
Cbc0010I After 3317 nodes, 1642 on tree, 1730 best solution, best possible 560 (226.03 seconds)
Cbc0010I After 3323 nodes, 1645 on tree, 1730 best solution, best possible 560 (226.77 seconds)
Cbc0010I After 3328 nodes, 1647 on tree, 1730 best solution, best possible 560 (227.48 seconds)
Cbc0010I After 3334 nodes, 1650 on tree, 1730 best solution, best possible 560 (228.27 seconds)
Cbc0010I After 3342 nodes, 1654 on tree, 1730 best solution, best possible 560 (229.02 seconds)
Cbc0010I After 3349 nodes, 1657 on tree, 1730 best solution, best possible 560 (229.72 seconds)
Cbc0010I After 3359 nodes, 1662 on tree, 1730 best solution, best possible 560 (230.43 seconds)
Cbc0010I After 3370 nodes, 1668 on tree, 1730 best solution, best possible 560 (231.16 seconds)
Cbc0010I After 3379 nodes, 1673 on tree, 1730 best solution, best possible 560 (231.89 seconds)
Cbc0010I After 3384 nodes, 1676 on tree, 1730 best solution, best possible 560 (232.70 seconds)
Cbc0010I After 3392 nodes, 1680 on tree, 1730 best solution, best possible 560 (233.47 seconds)
Cbc0010I After 3402 nodes, 1684 on tree, 1730 best solution, best possible 560 (234.20 seconds)
Cbc0010I After 3411 nodes, 1690 on tree, 1730 best solution, best possible 560 (235.07 seconds)
Cbc0010I After 3419 nodes, 1692 on tree, 1730 best solution, best possible 560 (235.79 seconds)
Cbc0010I After 3425 nodes, 1696 on tree, 1730 best solution, best possible 560 (236.57 seconds)
Cbc0010I After 3430 nodes, 1698 on tree, 1730 best solution, best possible 560 (237.28 seconds)
Cbc0010I After 3436 nodes, 1701 on tree, 1730 best solution, best possible 560 (238.09 seconds)
Cbc0010I After 3442 nodes, 1704 on tree, 1730 best solution, best possible 560 (238.87 seconds)
Cbc0010I After 3448 nodes, 1707 on tree, 1730 best solution, best possible 560 (239.70 seconds)
Cbc0010I After 3453 nodes, 1710 on tree, 1730 best solution, best possible 560 (240.59 seconds)
Cbc0010I After 3459 nodes, 1712 on tree, 1730 best solution, best possible 560 (241.34 seconds)
Cbc0010I After 3464 nodes, 1715 on tree, 1730 best solution, best possible 560 (242.06 seconds)
Cbc0010I After 3472 nodes, 1718 on tree, 1730 best solution, best possible 560 (242.78 seconds)
Cbc0010I After 3480 nodes, 1723 on tree, 1730 best solution, best possible 560 (243.49 seconds)
Cbc0010I After 3491 nodes, 1729 on tree, 1730 best solution, best possible 560 (244.27 seconds)
Cbc0010I After 3501 nodes, 1733 on tree, 1730 best solution, best possible 560 (245.01 seconds)
Cbc0010I After 3511 nodes, 1738 on tree, 1730 best solution, best possible 560 (245.71 seconds)
Cbc0010I After 3521 nodes, 1743 on tree, 1730 best solution, best possible 560 (246.43 seconds)
Cbc0010I After 3536 nodes, 1751 on tree, 1730 best solution, best possible 560 (247.22 seconds)
Cbc0010I After 3545 nodes, 1755 on tree, 1730 best solution, best possible 560 (247.96 seconds)
Cbc0010I After 3556 nodes, 1762 on tree, 1730 best solution, best possible 560 (248.67 seconds)
Cbc0010I After 3562 nodes, 1765 on tree, 1730 best solution, best possible 560 (249.42 seconds)
Cbc0010I After 3567 nodes, 1768 on tree, 1730 best solution, best possible 560 (250.16 seconds)
Cbc0010I After 3572 nodes, 1770 on tree, 1730 best solution, best possible 560 (250.88 seconds)
Cbc0010I After 3578 nodes, 1771 on tree, 1730 best solution, best possible 560 (251.59 seconds)
Cbc0010I After 3588 nodes, 1776 on tree, 1730 best solution, best possible 560 (252.36 seconds)
Cbc0010I After 3597 nodes, 1782 on tree, 1730 best solution, best possible 560 (253.08 seconds)
Cbc0010I After 3605 nodes, 1785 on tree, 1730 best solution, best possible 560 (253.87 seconds)
Cbc0010I After 3614 nodes, 1790 on tree, 1730 best solution, best possible 560 (254.60 seconds)
Cbc0010I After 3628 nodes, 1797 on tree, 1730 best solution, best possible 560 (255.34 seconds)
Cbc0010I After 3639 nodes, 1801 on tree, 1730 best solution, best possible 560 (256.14 seconds)
Cbc0010I After 3651 nodes, 1808 on tree, 1730 best solution, best possible 560 (256.92 seconds)
Cbc0010I After 3660 nodes, 1815 on tree, 1730 best solution, best possible 560 (257.66 seconds)
Cbc0010I After 3671 nodes, 1818 on tree, 1730 best solution, best possible 560 (258.42 seconds)
Cbc0010I After 3683 nodes, 1824 on tree, 1730 best solution, best possible 560 (259.21 seconds)
Cbc0010I After 3694 nodes, 1829 on tree, 1730 best solution, best possible 560 (260.03 seconds)
Cbc0010I After 3704 nodes, 1834 on tree, 1730 best solution, best possible 560 (260.74 seconds)
Cbc0010I After 3712 nodes, 1838 on tree, 1730 best solution, best possible 560 (261.47 seconds)
Cbc0010I After 3725 nodes, 1845 on tree, 1730 best solution, best possible 560 (262.18 seconds)
Cbc0010I After 3736 nodes, 1852 on tree, 1730 best solution, best possible 560 (262.89 seconds)
Cbc0010I After 3746 nodes, 1856 on tree, 1730 best solution, best possible 560 (263.64 seconds)
Cbc0010I After 3757 nodes, 1861 on tree, 1730 best solution, best possible 560 (264.38 seconds)
Cbc0010I After 3768 nodes, 1867 on tree, 1730 best solution, best possible 560 (265.18 seconds)
Cbc0010I After 3776 nodes, 1870 on tree, 1730 best solution, best possible 560 (265.93 seconds)
Cbc0010I After 3784 nodes, 1875 on tree, 1730 best solution, best possible 560 (266.70 seconds)
Cbc0010I After 3795 nodes, 1880 on tree, 1730 best solution, best possible 560 (267.41 seconds)
Cbc0010I After 3807 nodes, 1886 on tree, 1730 best solution, best possible 560 (268.15 seconds)
Cbc0010I After 3818 nodes, 1891 on tree, 1730 best solution, best possible 560 (268.87 seconds)
Cbc0010I After 3829 nodes, 1897 on tree, 1730 best solution, best possible 560 (269.61 seconds)
Cbc0010I After 3838 nodes, 1902 on tree, 1730 best solution, best possible 560 (270.35 seconds)
Cbc0010I After 3849 nodes, 1909 on tree, 1730 best solution, best possible 560 (271.08 seconds)
Cbc0010I After 3858 nodes, 1914 on tree, 1730 best solution, best possible 560 (271.80 seconds)
Cbc0010I After 3867 nodes, 1916 on tree, 1730 best solution, best possible 560 (272.53 seconds)
Cbc0010I After 3874 nodes, 1919 on tree, 1730 best solution, best possible 560 (273.26 seconds)
Cbc0010I After 3884 nodes, 1923 on tree, 1730 best solution, best possible 560 (274.00 seconds)
Cbc0010I After 3895 nodes, 1930 on tree, 1730 best solution, best possible 560 (274.80 seconds)
Cbc0010I After 3905 nodes, 1937 on tree, 1730 best solution, best possible 560 (275.58 seconds)
Cbc0010I After 3912 nodes, 1939 on tree, 1730 best solution, best possible 560 (276.38 seconds)
Cbc0010I After 3919 nodes, 1942 on tree, 1730 best solution, best possible 560 (277.08 seconds)
Cbc0010I After 3927 nodes, 1946 on tree, 1730 best solution, best possible 560 (277.81 seconds)
Cbc0010I After 3935 nodes, 1949 on tree, 1730 best solution, best possible 560 (278.53 seconds)
Cbc0010I After 3947 nodes, 1955 on tree, 1730 best solution, best possible 560 (279.42 seconds)
Cbc0010I After 3959 nodes, 1961 on tree, 1730 best solution, best possible 560 (280.16 seconds)
Cbc0010I After 3967 nodes, 1965 on tree, 1730 best solution, best possible 560 (280.89 seconds)
Cbc0010I After 3978 nodes, 1971 on tree, 1730 best solution, best possible 560 (281.65 seconds)
Cbc0010I After 3986 nodes, 1974 on tree, 1730 best solution, best possible 560 (282.40 seconds)
Cbc0010I After 3994 nodes, 1978 on tree, 1730 best solution, best possible 560 (283.12 seconds)
Cbc0010I After 4004 nodes, 1982 on tree, 1730 best solution, best possible 560 (283.91 seconds)
Cbc0010I After 4013 nodes, 1988 on tree, 1730 best solution, best possible 560 (284.75 seconds)
Cbc0010I After 4020 nodes, 1991 on tree, 1730 best solution, best possible 560 (285.55 seconds)
Cbc0010I After 4030 nodes, 1999 on tree, 1730 best solution, best possible 560 (286.28 seconds)
Cbc0010I After 4040 nodes, 2001 on tree, 1730 best solution, best possible 560 (287.04 seconds)
Cbc0010I After 4046 nodes, 2004 on tree, 1730 best solution, best possible 560 (287.83 seconds)
Cbc0010I After 4052 nodes, 2007 on tree, 1730 best solution, best possible 560 (288.65 seconds)
Cbc0010I After 4061 nodes, 2011 on tree, 1730 best solution, best possible 560 (289.43 seconds)
Cbc0010I After 4073 nodes, 2017 on tree, 1730 best solution, best possible 560 (290.23 seconds)
Cbc0010I After 4082 nodes, 2022 on tree, 1730 best solution, best possible 560 (290.97 seconds)
Cbc0010I After 4091 nodes, 2026 on tree, 1730 best solution, best possible 560 (291.70 seconds)
Cbc0010I After 4103 nodes, 2035 on tree, 1730 best solution, best possible 560 (292.48 seconds)
Cbc0010I After 4110 nodes, 2036 on tree, 1730 best solution, best possible 560 (293.19 seconds)
Cbc0010I After 4117 nodes, 2039 on tree, 1730 best solution, best possible 560 (293.98 seconds)
Cbc0010I After 4124 nodes, 2045 on tree, 1730 best solution, best possible 560 (294.77 seconds)
Cbc0010I After 4129 nodes, 2047 on tree, 1730 best solution, best possible 560 (295.55 seconds)
Cbc0010I After 4138 nodes, 2050 on tree, 1730 best solution, best possible 560 (296.37 seconds)
Cbc0010I After 4147 nodes, 2057 on tree, 1730 best solution, best possible 560 (297.10 seconds)
Cbc0010I After 4154 nodes, 2058 on tree, 1730 best solution, best possible 560 (297.87 seconds)
Cbc0010I After 4159 nodes, 2060 on tree, 1730 best solution, best possible 560 (298.60 seconds)
Cbc0010I After 4165 nodes, 2063 on tree, 1730 best solution, best possible 560 (299.32 seconds)
Cbc0010I After 4174 nodes, 2070 on tree, 1730 best solution, best possible 560 (300.02 seconds)
Cbc0010I After 4181 nodes, 2071 on tree, 1730 best solution, best possible 560 (300.78 seconds)
Cbc0010I After 4190 nodes, 2075 on tree, 1730 best solution, best possible 560 (301.55 seconds)
Cbc0010I After 4199 nodes, 2081 on tree, 1730 best solution, best possible 560 (302.27 seconds)
Cbc0010I After 4207 nodes, 2086 on tree, 1730 best solution, best possible 560 (303.00 seconds)
Cbc0010I After 4216 nodes, 2091 on tree, 1730 best solution, best possible 560 (303.74 seconds)
Cbc0010I After 4223 nodes, 2092 on tree, 1730 best solution, best possible 560 (304.53 seconds)
Cbc0010I After 4233 nodes, 2099 on tree, 1730 best solution, best possible 560 (305.23 seconds)
Cbc0010I After 4240 nodes, 2101 on tree, 1730 best solution, best possible 560 (305.95 seconds)
Cbc0010I After 4250 nodes, 2106 on tree, 1730 best solution, best possible 560 (306.71 seconds)
Cbc0010I After 4260 nodes, 2110 on tree, 1730 best solution, best possible 560 (307.49 seconds)
Cbc0010I After 4267 nodes, 2114 on tree, 1730 best solution, best possible 560 (308.21 seconds)
Cbc0010I After 4275 nodes, 2118 on tree, 1730 best solution, best possible 560 (308.97 seconds)
Cbc0010I After 4283 nodes, 2123 on tree, 1730 best solution, best possible 560 (309.75 seconds)
Cbc0010I After 4288 nodes, 2126 on tree, 1730 best solution, best possible 560 (310.46 seconds)
Cbc0010I After 4295 nodes, 2130 on tree, 1730 best solution, best possible 560 (311.23 seconds)
Cbc0010I After 4306 nodes, 2136 on tree, 1730 best solution, best possible 560 (311.95 seconds)
